	iYLI649_ID	iYLI649_Name	iYali_ID	iYali_Name	iYli21_ID	iYli21_Name
3530					R2121	3-Oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)
3531	D_LACDm	D lactate dehydrogenase mitochondrial				
3532	MGCH	Methylglutaconyl-coa hydratase				
3533					R130	alcohol dehydrogenase (ethanol to acetaldehyde)
3534					R432	IPS phospholipase C
3535	METB1	metb1				
3536					R2116	(S)-3-Hydroxyisobutyryl-CoA hydro-lyase
3537					R1536	acetyl-CoA C-acyltransferase (hexanoyl-CoA)
3538					R1649	icosanoyl-CoA transport, cell envelope-cytoplasm
3539					R1280	octadecanoate (n-C18:0) transport
3540					R76	acetohydroxy acid isomeroreductase
3541					R88	acetyl-CoA carboxylase
3542	ACOAO5p	acyl CoA oxidase dodecanoyl CoA peroxisomal				
3543					R1805	1-phosphatidyl-1D-myo-inositol transport, ER membrane-cell envelope
3544	ECOAHDC6p	3-hydroxyacyl-CoA dehydratase (3-hydroxyadipoyl-CoA), peroxisomal				
3545	LYSt2r	L lysine reversible transport via proton symport				
3546					R967	3-carboxy-4-methyl-2-oxopentanoate transport
3547					R2022	Propanoate exchange
3548	HCYSt2p	Homocysteine peroxisomal transport via proton symport				
3549					R1759	DGPP phosphatase
3550	biomass_carbon_limiting	biomass yarrowia carbon limiting				
3551					R1372	yeast 5 biomass pseudoreaction
3552					R1165	hexacosanoyl-CoA transport
3553	PLB_pc	PLB pc				
3554					R772	tryptophanyl-tRNA synthetase
3555	NADN	NAD nucleosidase				
3556					R1517	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)
3557					R1104	dUDP diffusion
3558	ASNt2m	asparagine mitochondrial transport via proton transport				
3559					R1886	long-chain aldehyde dehydrogenase (C12)
3560					R1026	bicarbonate formation
3561					R592	nucleoside diphosphate kinase
3562					R1691	cerotic acid transport, cell envelope-ER membrane
3563					R837	cytidine transport
3564					R1155	guanosine transport
3565					R1661	H+ transport, cytoplasm-Golgi membrane
3566					R1054	coenzyme A transport
3567					R1037	ceramide transport
3568					R1994	(R)-3-Hydroxybutanoate exchange
3569					R353	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase
3570					R1648	oleate transport, cell envelope-cytoplasm
3571					R1690	lignoceric acid transport, cell envelope-ER membrane
3572					R1092	dephospho-CoA kinase
3573					R940	water diffusion
3574					R1970	(S)3-methyl-2-oxopentanoate dehydrogenase
3575					R912	pantothenate transport
3576					R1344	thiazole phosphate synthesis (xylulose 5-phosphate)
3577					R843	D-mannose transport
3578					R1726	cholinephosphotransferase
3579					R816	ADP/ATP transporter
3580	THZPSN1_SC	thiazole phosphate synthesis xylulose 5 phosphate yeast specific				
3581	THRt2m	threonine mitochondrial transport via proton symport				
3582					R451	IPS phospholipase C
3583	SBT_Lt	L sorbitol transport via passive diffusion				
3584					R1247	M(IP)2C transport
3585					R1361	water diffusion
3586	PLB_ps	PLB ps				
3587	CYOR_u6m	ubiquinol 6 cytochrome c reductase				
3588					R1645	palmitate transport, cell envelope-cytoplasm
3589					R237	citrate synthase, peroxisomal
3590					R903	NAD transport
3591					R304	ferrocytochrome-c:oxygen oxidoreductase
3592					R464	IPS phospholipase C
3593					R2059	glucose 1-dehydrogenase
3594					R1951	dihydrofolate:NADP+ oxidoreductase
3595	MALT	alpha glucosidase				
3596	HXANt2r	hypoxanthine reversible transport via proton symport				
3597			y001870	isobutyraldehyde exchange		
3598					R1350	tryptophan transport
3599	MBCOAi	isovaleryl-coa dehydrogenase				
3600					R1787	phosphatidylethanolamine transport, ER membrane-lipid particle
3601					R1432	trans-2-enoyl-CoA reductase (n-C24:0CoA)
3602					R1137	GDP-alpha-D-mannose transport
3603					R1889	NADH dehydrogenase (complex I)
3604	EX_5aop_LPAREN_e_RPAREN_	5 Amino 4 oxopentanoate exchange				
3605					R1287	oxygen exchange
3606			y000439	ubiquinol:ferricytochrome c reductase		
3607					R593	nucleoside diphosphate kinase
3608	PL_gpe	PL gpe				
3609					R2167	Decanoyl-CoA transport
3610					R532	lysyl-tRNA synthetase
3611	AGAT_SC	1 Acyl glycerol 3 phosphate acyltransferase yeast specific				
3612	GLUTRSm	glutamyl tRNA synthetase mitochondrial				
3613					R1159	H+ diffusion
3614					R1577	myristoyl-CoA transport, cytoplasm-ER membrane
3615	FA60tp	fatty acid peroxisomal transport YL				
3616					R1714	uridine hydrolase
3617	ASP1DC	aspartate 1 decarboxylase				
3618	GCC2bim	glycine cleavage system lipoamide irreversible mitochondrial				
3619	ASPGLUtp	aspartate glutamate peroxisomal shuttle				
3620	TRIGSY_GLC_nlim	triglycerol yarrowia glucose synthesis nlim YL				
3621			y002185	decanoate (n-C10:0) transport		
3622					R1891	glycerol transport, mm - cy
3623					R1243	M(IP)2C transport
3624					R1912	ADP-ribose ribophosphohydrolase
3625	EHGLATm	L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase mitochondrial				
3626					R1606	L-serine transport, cytoplasm-ER membrane
3627					R431	IPS phospholipase C
3628					R595	nucleoside diphosphate kinase
3629					R900	L-valine transport
3630					R1869	oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane
3631	H2Oter	H2O endoplasmic reticulum transport				
3632					R2016	2-oxobutanoate exchange
3633					R2208	Indole_3_acetonitrile exchange
3634	KARA2im	ketol acid reductoisomerase 2 Aceto 2 hydroxybutanoate mitochondrial				
3635					R2132	Ceramide-2 synthase (26C)
3636	HSDyi	homoserine dehydrogenase NADP irreversible				
3637					R465	IPS phospholipase C
3638	FAO182p_evenodd	Fatty acid oxidation				
3639					R1528	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-hexadec-9-enoyl-CoA)
3640	FA181COAabcp	fatty acyl CoA peroxisomal transport via ABC system				
3641					R1028	bicarbonate transport
3642					R1569	laurate transport, cytoplasm-ER membrane
3643					R2113	Propanoyl-CoA transport
3644					R178	C-3 sterol dehydrogenase
3645	OCDCYAt	Octadecynoate n C182 transport in via uniport				
3646	MTHFCm	methenyltetrahydrifikate cyclohydrolase mitochondrial				
3647					R586	nucleoside diphosphatase
3648	G3PD1irm	glycerol 3 phosphate dehydrogenase NAD mitochondrial				
3649	AP4AHr	Ap4A hydrolase reversible				
3650					R1968	4-methyl-2-oxopentanoate dehydrogenase
3651					R850	GDP-mannose antiport
3652					R1406	elongase I (3-oxotetradecanoyl-CoA)
3653					R1732	PC phospholipase B
3654	CBASPtn	N carbomoyl L aspartate transport diffusion				
3655					R1311	pyruvate transport
3656					R566	NAD kinase
3657					R1764	DAG lipase, mitochondrion
3658	O2ter	O2 transport endoplasmic reticulum				
3659					R884	L-isoleucine transport
3660	G6PDH2er	glucose 6 phosphate dehydrogenase endoplasmic reticulum				
3661	DGRK_SC	DGRK SC				
3662					R1731	LPC phospholipase B
3663	EX_dad_2_LPAREN_e_RPAREN_	Deoxyadenosine exchange				
3664	ALLTAHr	Allantoate amidinohydrolase reversible				
3665	EX_k_LPAREN_e_RPAREN_	K exchange				
3666					R1241	M(IP)2C transport
3667					R576	nicotinamidase
3668	FA240tp	fatty acid peroxisomal transport				
3669					R1802	phosphatidyl-L-serine transport, ER membrane-vacuolar membrane
3670					R371	GPI-anchor assembly, step 2
3671			y001599	3-methylbutanal transport		
3672					R661	phytoceramidase
3673	CYOOm	cytochrome c oxidase mitochondrial				
3674					R2169	1,2-Diacyl-sn-glycerol transport
3675	FAS80ACPm_L	fatty acyl ACP synthase n C80ACP mitochondrial lumped reaction				
3676					R1481	hexanoate (n-C6:0) transport, cytoplasm-peroxisome
3677					R2000	D-Gluconate:NADP+ 5-oxidoreductase
3678					R103	acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane
3679					R963	2-oxobutanoate transporter
3680					R2171	1-Phosphatidyl-D-myo-inositol inositolphosphohydrolase
3681	APRTO2	N acetylputrescine oxygen oxireductase deaminating				
3682					R833	citrate transport
3683					R75	acetaldehyde condensation
3684	HACDDC14p	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanedioyl-CoA), peroxisomal				
3685					R1821	inositolphosphotransferase
3686					R2120	beta-alanine:2-oxoglutarate aminotransferase
3687					R1728	PE diacylglycerol acyltransferase
3688					R2166	Hexadecenoyl-CoA transport
3689					R470	IPS phospholipase C
3690					R271	dihydrofolate reductase
3691					R2139	UDP-glucose transport
3692					R1017	AMP transport
3693	GUAt2r	guanine reversible transport via proton symport				
3694					R1898	fatty-acid--CoA ligase (butyrate)
3695					R1447	fatty-acid--CoA ligase (hexadecanoate), ER membrane
3696					R883	L-isoleucine transport
3697					R1582	icosanoyl-CoA transport, cytoplasm-ER membrane
3698	FAO141p_even	fatty acid oxidation				
3699					R599	nucleoside triphosphatase
3700					R1101	dolichol phosphate transport
3701					R1603	CDP-choline transport, cytoplasm-ER membrane
3702					R2102	GDPmannose:dolichyl-phosphate O-beta-D-mannosyltransferase
3703					R1748	PI 4-P phosphatase
3704					R128	alanine glyoxylate aminotransferase
3705					R1267	nicotinamide diffusion
3706	ECOAHDC14p	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanedioyl-CoA), peroxisomal				
3707					R1435	stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane
3708	PIN4K_SC	phosphatidylinositol 4 kinase yeast specific				
3709	ILETRSm	isoleucyl tRNA synthetase mitochondrial				
3710	NADNm	NAD nucleosidase mitochondrial				
3711					R1486	peroxisomal acyl-CoA thioesterase (18:1)
3712					R1456	fatty-acid--CoA ligase (octadecenoate), lipid particle
3713					R2011	N-Acetyl-D-Glucosamine exchange
3714	EX_dodec_LPAREN_e_RPAREN_	Dodecane exchange				
3715					R1938	3'-Phospho-5'-adenylyl sulfate 3'-phosphohydrolase
3716	HCO3E	HCO3 equilibration reaction				
3717					R349	glycerol-3-phosphate dehydrogenase (NAD)
3718					R2057	UDP-D-galactose transport
3719	CO2tn	CO2 nuclear transport via diffusion				
3720					R2175	Glycolate transport
3721					R1400	3-hydroxyacyl-thioester dehydratase (trans-but-2-enoyl-ACP)
3722					R677	purine-nucleoside phosphorylase (adenosine)
3723	M1PD	mannitol 1 phosphate 5 dehydrogenase				
3724					R1385	isocitrate dehydrogenase
3725					R620	peroxisomal acyl-CoA thioesterase
3726					R1526	3-hydroxyacyl-CoA dehydrogenase (3-oxodocosanoyl-CoA)
3727					R1018	arginine transport
3728	DHFRim	dihydrofolate reductase mitochondrial				
3729	HPROxm	L hydroxyproline dehydrogenase NAD mitochondrial				
3730	DHORD4	dihydoorotic acid ubiquinone 6				
3731	TREt2v	trehalose vacuolar transport via proton symport				
3732					R937	uridine transport
3733					R196	CDP-diacylglycerol synthase
3734	FA141tp	fatty acid peroxisomal transport				
3735	FAO80p	fatty acid oxidation octanoyl CoA peroxisomal				
3736	TYRt2p	tyrosine peroxisomal transport via proton symport				
3737	P5CDm	1 pyrroline 5 carboxylate dehydrogenase mitochondrial				
3738					R1646	palmitoleate transport, cell envelope-cytoplasm
3739					R1474	fatty acyl-CoA transport via ABC system (C18:0)
3740			y001844	indole-3-acetaldehyde transport		
3741	ACACCT	Acetyl-CoA:acetoacetyl-CoA transferase				
3742					R1145	glycoaldehyde transport
3743					R1639	ADP transport, cytoplasm-cell envelope
3744	THZPSN2_SC	thiazole phosphate synthesis ribose 5 phosphate yeast specifc				
3745	AABTN	4 acetamidobutyrate deacetylase				
3746	NADS1m	NAD synthase nh3 mitochondrial				
3747					R1345	threonine transport
3748					R1466	fatty-acid--CoA ligase (cerotic acid), ER membrane
3749					R2243	S_Adenosyl_L_methionine transport
3750					R1781	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, nucleus-cytoplasm
3751			y001868	isobutyl alcohol transport		
3752	ACACT7p	acetyl CoA acyltransferase tetradecanoyl CoA peroxisomal				
3753	4H2OGLTtm	4 hydroxy 2 oxoglutarate mitochondrial transport via diffusion				
3754					R1687	lanosteryl oleate transport, ER membrane-lipid particle
3755	FA160tp	fatty acid peroxisomal transport				
3756					R698	riboflavin kinase
3757					R1704	phosphatidyl-L-serine transport, ER membrane-cytoplasm
3758			y000187	aldehyde dehydrogenase (tryptophol, NAD)		
3759					R12	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)
3760					R1945	2'-Deoxyguanosine 5'-triphosphate diphosphohydrolase
3761					R1681	ergosteryl oleate transport, ER membrane-lipid particle
3762					R1976	glutaryl-CoA dehydrogenase
3763					R1362	water diffusion
3764					R2134	acyl-CoA:sphingosine N-acyltransferase
3765					R2210	nitrilase
3766					R2197	NO NAME
3767			y002003	phenylacetaldehyde transport		
3768					R2174	Glycolate transport
3769					R1815	inositolphosphotransferase
3770	TKT2	transketolase				
3771	CYSTLp	cystathione b lyase peroxisomal				
3772					R876	L-glutamate transport
3773					R253	D-arabinono-1,4-lactone oxidase
3774					R1622	palmitoyl-CoA transport, cytoplasm-lipid particle
3775	THRTRSm	threonyl tRNA synthetase mitochondrial				
3776					R1477	fatty acyl-CoA transport via ABC system (C22:0)
3777					R1509	2-enoyl-CoA hydratase (3-hydroxydocosanoyl-CoA)
3778	trehalose_c_tp	trehalose c tp				
3779	PIt2r	phosphate reversible transport via symport				
3780	CSNATirm	carnitine O acetyltransferase reverse direction mitochondrial				
3781	ASNt2r	L asparagine reversible transport via proton symport				
3782	METt2m	methionine mitochondrial transport via proton symport				
3783					R2165	Triacyglycerol synthesis
3784					R1437	laurate (n-C12:0) transport
3785	ID3ACALDtm	indole 3 acetaldehyde mitochondrial transport via diffusion				
3786	FTHFLm	formate tetrahydrofolate ligase mitochondrial				
3787					R173	beta-1,4 mannosyltransferase
3788					R1882	long-chain alcohol oxidase (C10)
3789					R830	choline transport
3790					R1772	diacylglycerol acyltransferase
3791	DASYN_SC	CDP Diacylglycerol synthetase yeast specific				
3792					R2095	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)
3793					R977	4-hydroxy-2-oxoglutarate transport
3794					R1455	fatty-acid--CoA ligase (octadecanoate), lipid particle
3795					R1656	ATP transport, cytoplasm-vacuolar membrane
3796					R2181	Dolichyl-diphosphate phosphohydrolase
3797					R2236	fatty acyl ACP mitochondrial transport
3798	ACP1e	acid phosphatase extracellular secreted				
3799					R1504	2-enoyl-CoA hydratase (3-hydroxyhexacosanoyl-CoA)
3800					R917	putrescine transport
3801	TREt2	trehalose transport in via proton symporter				
3802					R438	IPS phospholipase C
3803					R1568	zymosteryl ester hydrolase (18:1), cell envelope
3804					R1343	thiazole phosphate synthesis (ribose 5-phosphate)
3805	FA182COAabcp	fatty acyl CoA peroxisomal transport via ABC system				
3806					R1935	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)
3807					R1828	IPC synthase
3808	PPPG9tm	protoporphyrinogen IX mitochondrial transport				
3809	FA141COAabcp	fatty acid peroxisomal transport via ABC system				
3810					R898	L-tyrosine transport
3811					R1465	fatty-acid--CoA ligase (lignoceric acid), ER membrane
3812					R32	3',5'-cyclic-nucleotide phosphodiesterase
3813	PI4P5K_SC	phosphatidylinositol 4 phosphate 5 kinase yeast specfic				
3814					R1563	lanosteryl ester hydrolase (16:1), lipid particle
3815					R1694	lignoceric acid transport, ER membrane-ER
3816					R1965	mannitol transport extracellular
3817					R1149	glyoxylate transport
3818					R425	inositol-1,4,5-triphosphate 6-kinase, nucleus
3819	FAO161p_odd	Fatty acid oxidation				
3820					R1913	ribonucleotide reductase
3821					R1169	L-histidine transport, mitochondrial
3822					R1129	formate transport
3823					R30	3',5'-cyclic-nucleotide phosphodiesterase
3824					R452	IPS phospholipase C
3825	PAN4Ptm	panthetheine 4 phosphate reversible mitochondrial transport				
3826					R939	UTP/UMP antiport
3827	SPRMti	spermine irreversible uniport				
3828	ACACT6p	acetyl CoA C acetyltransferase dodecanoyl peroxisomal				
3829					R996	acetaldehyde exchange
3830					R1746	PI 3-P phosphatase
3831	NAPRTm	NAPRTase mitochondrial				
3832					R1632	diphosphate transport, cytoplasm-lipid particle
3833					R1964	arabinitol dehydrogenase
3834					R1939	L-Serine:pyruvate aminotransferase
3835					R577	nicotinamide N-methyltransferase
3836					R1094	dhnpt transport
3837	L_LACtm	L lactate transport mitochondrial				
3838					R1927	dUTP:uridine 5'-phosphotransferase
3839					R1711	raffinose invertase
3840					R2070	Acetaldehyde:NAD+ oxidoreductase
3841					R851	glucose transport
3842					R1454	fatty-acid--CoA ligase (hexadecenoate), lipid particle
3843	GLUK	Glucokinase				
3844					R1906	nicotinate riboside kinase
3845					R342	glutathione peroxidase, mitochondria
3846					R1510	2-enoyl-CoA hydratase (3-hydroxytetracosanoyl-CoA)
3847	THRD_Lm	L threonine deaminase mitochondrial				
3848					R104	acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane
3849					R428	IPS phospholipase C
3850	ACOAODC6p	acyl-CoA oxidase (adipoyl-CoA), peroxisomal				
3851			y001578	2-methylbutanal transport		
3852	PLB_lps	PLB lps				
3853					R1671	coenzyme A transport, mitochondrial membrane-cytoplasm
3854	2OMPH_5tm	2 Octaprenyl 6 methoxyprenol mitochondrial transport				
3855	FA140tp	fatty acid peroxisomal transport				
3856	XYLt	D xylose reversible transport				
3857					R1298	potassium exchange
3858					R1133	fumarate(2-) exchange
3859	PEtm_SC	phosphatidylethanolamine mitochondrial transport yeast specific				
3860					R575	NAPRtase
3861					R534	malate dehydrogenase, cytoplasmic
3862					R1125	FMN adenylyltransferase
3863	PAPt	PAP reversible uniport				
3864					R1998	5-dehydro-D-gluconate exchange
3865					R2047	1D-myo-inositol 1-phosphate transport
3866					R1973	3-methylglutaconyl-CoA dehydratase
3867					R1329	stearate exchange
3868	PIt2p	phosphate peroxisomal transport via proton symport				
3869					R1543	acetyl-CoA C-acyltransferase (cis-hexadec-7-enoyl-CoA)
3870					R1619	octadecenoate (n-C18:1) transport, cytoplasm-lipid particle
3871			y001765	ethyl acetate exchange		
3872					R2285	Acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase; 2-methylacetoacetyl-CoA thiolase
3873					R1283	oxaloacetate transport
3874					R1384	proton leak
3875					R527	leukotriene A4 hydrolase
3876	DTTPt	dTTP reversible uniport				
3877					R1031	carnitine transport
3878	G5SADr	L glutamate 5 semialdehyde dehydratase reversible				
3879					R2073	L-Tryptophan:2-oxoglutarate aminotransferase
3880					R1797	1-phosphatidyl-1D-myo-inositol transport, ER membrane-Golgi membrane
3881					R1166	hexadecanal exchange
3882					R1193	isoamylol exchange
3883			y000656	isoamyl acetate-hydrolyzing esterase		
3884					R443	IPS phospholipase C
3885	FA140COAabcp	fatty acid peroxisomal transport via ABC system				
3886					R105	acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane
3887					R1485	peroxisomal acyl-CoA thioesterase (16:1)
3888					R1212	L-glutamate transport
3889					R2001	malonate exchange
3890					R497	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)
3891					R1317	ribose transporter
3892					R1521	3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosanoyl-CoA)
3893					R2029	cytosol nonspecific dipeptidase
3894	AHCYStn	S adenosyl L homocysteine nuclear transport				
3895					R585	nucleoside diphosphatase
3896	EX_C16DC_LPAREN_e_RPAREN_	Hexadecanedioate exchnage				
3897			y001866	isobutanol exchange		
3898					R1378	acetaldehyde dehydrogenase
3899					R1570	myristate transport, cytoplasm-ER membrane
3900	HPROym	L hydroxyproline dehydrogenase NADP mitochondrial				
3901					R989	5-formethyltetrahydrofolate cyclo-ligase
3902	SBT_Dt	D sorbitol transport via passive diffusion				
3903					R2061	Magnesium exchange
3904					R874	L-cystine transport
3905	ALCD2m	alcohol dehydrogenase ethanol mitochondrial				
3906					R1130	formate transport
3907					R1515	2-enoyl-CoA hydratase (3-hydroxy-cis-hexadec-7-enoyl-CoA)
3908	FA260tp	fatty acid peroxisomal transport				
3909	MIP2CS324_SC	mannose inositol P 2 ceramide synthase ceramide 3 24C yeast specific				
3910					R2083	3-Methylcrotonyl-CoA transport
3911					R376	GPI-anchor assembly, step 9
3912					R475	IPS phospholipase C
3913	OMBZLM6m	2 Octaprenyl 6 methoxy benzoquinol methylase mitochodnrial				
3914					R825	carnithine-acetylcarnithine carrier
3915	ACAT_fecost	ACAT fecost				
3916	DECFAO	decanol oxidase				
3917					R1402	3-hydroxyacyl-thioester dehydratase (trans-oct-2-enoyl-ACP)
3918					R153	argininosuccinate synthase
3919					R1120	palmitate (n-C16:0) transport, cytoplasm-peroxisome
3920					R2142	propanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase
3921					R447	IPS phospholipase C
3922					R1047	citrate/malate antiport
3923					R1069	D-glucosamine 6-phosphate uniport
3924					R890	L-lysine transport
3925					R930	sulfate uniport
3926					R1427	trans-2-enoyl-CoA reductase (n-C14:0CoA)
3927					R1191	isoamyl alcohol transport
3928					R462	IPS phospholipase C
3929					R1584	tetracosanoyl-CoA transport, cytoplasm-ER membrane
3930	PHEt2r	L phenylalanine reversible transport via proton symport				
3931			y000464	glucan 1,4-alpha-glucosidase, vacuole		
3932					R2229	fatty acyl ACP hydrolase
3933					R1954	urate oxidase
3934	CDPtn	CDP nuclear transport				
3935					R1652	hexacosanoyl-CoA transport, cell envelope-cytoplasm
3936					R763	trans-pentaprenyltranstransferase
3937					R25	2-methylcitrate synthase
3938	METTRSm	methionyl tRNA synthetase mitochondrial				
3939					R2235	fatty acyl ACP hydrolase
3940	ACACT5p	acetyl CoA C acyltransferase decanoyl CoA peroxisomal				
3941					R230	cis-prenyltransferase step 14
3942					R1487	acyl-CoA oxidase (butanoyl-CoA)
3943	NMNt2m	NMN mitochondrial transport via proton symport				
3944	HCAt	Hexanoate n C60 transport in via uniport YL				
3945					R1386	oxoglutarate/malate exchange
3946					R1497	acyl-CoA oxidase (cis-hexadec-7-enoyl-CoA)
3947	ACACTDC10p	acetyl-CoA C-acetyltransferase (decanedioyl-CoA), peroxisomal				
3948			y000166	aldehyde dehydrogenase (2-methylbutanol, NAD)		
3949					R2155	mannose-inositol phosphorylceramide synthase (ceramide-2, 26C), yeast-specific
3950			y000180	aldehyde dehydrogenase (isoamyl alcohol, NAD)		
3951					R1770	PA kinase, vacuolar membrane
3952					R571	NADH kinase
3953	4ABUTNtm	4 aminobutanal mitochondrial transport via diffusion				
3954			y000178	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)		
3955					R2044	fatty acid transport
3956	SUCD2_u6m	succinate dehydrogenase ubiquinone 6 mitochondrial				
3957	PRAIi	phosphoribosylanthranilate isomerase irreversible				
3958	ARGSSr	argininosuccinate synthase reversible				
3959					R1429	trans-2-enoyl-CoA reductase (n-C18:0CoA)
3960			y001576	2-methyl-1-butanol transport		
3961					R2042	D-arabinose-5-phosphate aldose-ketose-isomerase
3962	ACACTDC14p	acetyl-CoA C-acetyltransferase (tetradecanedioyl-CoA), peroxisomal				
3963					R1876	octadecenoate (n-C18:1) transport
3964					R1084	deoxyadenosine transport
3965	PTD4INOtn_SC	phosphatidyl 1D myo 4 inositol nuclear transport yeast specific				
3966					R1087	deoxycytidine transport
3967					R1674	lignoceric acid transport, ER membrane-lipid particle
3968	SUCFUMtm	succinate fumarate transport mitochondrial				
3969					R62	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase
3970					R842	D-lactate/pyruvate antiport
3971					R2071	Indole-3-acetaldehyde:NAD+ oxidoreductase
3972					R862	inositol transport
3973	PANTtm	pantothenate mitochondrial transport				
3974					R913	pentaprenyl diphosphate transport
3975					R2173	Glycolate:oxygen 2-oxidoreductase
3976					R403	hydrogen peroxide reductase (thioredoxin)
3977					R1152	guanine transport
3978	FAO240p	fatty acid oxidation tetradecansoyl CoA peroxisomal				
3979					R467	IPS phospholipase C
3980					R1865	alkane oxidase (C12)
3981					R621	peroxisomal acyl-CoA thioesterase
3982					R1677	fecosterol transport, ER membrane-lipid particle
3983	DGSNt2	deoxyguanosine transport in via proton symport				
3984					R568	NAD synthase
3985					R1089	deoxyinosine transport
3986	NADS1	NAD synthase nh3				
3987			y002105	xylitol transport		
3988					R1299	protoporphyrinogen IX transport
3989	PHEt2m	Phenylalanine mitochondrial transport via proton symport				
3990					R124	adenylosuccinate lyase (AICAR)
3991					R1743	PC phospholipase D
3992	PIt2m	phosphate transporter mitochondrial				
3993					R402	hydrogen peroxide reductase (thioredoxin)
3994	PLB_pe	PLB pe				
3995					R548	methionyl-tRNA synthetase
3996	PYRt2	pyruvate transport in via proton symport				
3997					R1604	ATP transport, cytoplasm-ER membrane
3998	CRNCARtm	carnithine acetylcarnithine carrier mitochondrial				
3999			y001843	indol-3-ylacetaldehyde exchange		
4000					R1928	dCTP:cytidine 5'-phosphotransferase
4001					R945	(R)-mevalonate exchange
4002	ERGTETROLter	Ergosta 5 6 22 24 28 tetraen 3beta ol endoplamic reticular transport				
4003					R39	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase
4004	PRO1xm	proline oxidase NAD mitochondrial				
4005					R748	tetrahydrofolate aminomethyltransferase
4006	4H2OGLTtp	4 hydroxy 2 oxoglutarate peroxisomal transport via diffusion				
4007					R1395	B-ketoacyl-ACP synthase (3-oxo-hexanoyl-ACP)
4008	AGT	alanine glyoxylate transaminase				
4009					R469	IPS phospholipase C
4010	G3PDm	glycerol 3 phosphate dehydrogenase FAD mitochondrial				
4011					R1874	fatty acyl-CoA transport via ABC system (C18:2)
4012	GCC2am	glycine cleavage complex lipoamide mitochondrial				
4013					R399	homoserine dehydrogenase (NADP)
4014			y001579	2-methylbutanal transport		
4015					R987	5-aminolevulinate exchange
4016	DHORTSn	dihydroorotase nuclear				
4017					R268	dihydroceramidase
4018					R1807	phosphatidylethanolamine transport, ER membrane-cell envelope
4019					R1757	PI 3,5-P2 phosphatase
4020					R1290	palmitoyl-CoA transport
4021					R1565	zymosteryl ester hydrolase (16:1), lipid particle
4022					R1252	methylglyoxal synthase
4023					R657	phosphoribosylpyrophosphate amidotransferase
4024					R1544	acetyl-CoA C-acyltransferase (cis-tetradec-5-enoyl-CoA)
4025					R1558	ergosteryl ester hydrolase (18:1), lipid particle
4026	FDNG	formate dehydrogenase cytosolicmitochondrial				
4027	SPMDt2	spermidine transport in via proton symport				
4028					R2041	ATP:D-arabinose 5-phosphotransferase
4029					R2128	Ceramide-1 (Sphinganine:n-C24:0) transport
4030	SQ23EPXter	Squalene 2 3 epoxide endoplamic reticular transport				
4031					R1440	oleate exchange
4032					R2199	L-Cysteine:2-oxoglutarate aminotransferase
4033					R1839	phosphatidylinositol synthase
4034	FMETTRSm	Methionyl tRNA formyltransferase mitochondrial				
4035					R968	3-methyl-2-oxopentanoate transport
4036					R2152	mannose-inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific
4037					R683	inosine phosphorylase
4038					R1483	peroxisomal acyl-CoA thioesterase (4:0)
4039					R1863	alkane oxidase (C10)
4040					R1412	elongase III (3-oxohexacosanoyl-CoA)
4041					R1957	4-hydroxyphenylpyruvate dioxygenase
4042					R112	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane
4043	DGDPtn	dGDP nuclear transport				
4044					R961	2-isopropylmalate transport
4045	MIP2CS126_SC	mannose inositol P 2 ceramide synthase ceramide 1 26C yeast specific				
4046					R1006	adenosine 3',5'-bisphosphate transport
4047					R2136	dihydroceramide, NADPH: oxygen oxidoreductase
4048					R1498	acyl-CoA oxidase (cis-tetradec-5-enoyl-CoA)
4049					R929	succinate-fumarate transport
4050					R1207	L-erythro-4-hydroxyglutamate transport
4051					R1113	ethanol transport
4052					R1817	inositolphosphotransferase
4053	SERt2r	L serine reversible transport via proton symport				
